Species,Clade,Subspecies,Latitude,Longitude
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.57829,-67.5933
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.57829,-67.5933
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.57829,-67.5933
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.57829,-67.5933
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.57829,-67.5933
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.57829,-67.5933
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.57379,-67.5901
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.57209,-67.5835
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.57209,-67.5835
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.57186,-67.5822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.57186,-67.5822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.57186,-67.5822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.57186,-67.5822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.57186,-67.5822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.57186,-67.5822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.57186,-67.5822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.57186,-67.5822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.57186,-67.5822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.57186,-67.5822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.57186,-67.5822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.57186,-67.5822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.57186,-67.5822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.57186,-67.5822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.57186,-67.5822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.57186,-67.5822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.57186,-67.5822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.57186,-67.5822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.57186,-67.5822
